iter,K,V_notelec
0,1.6279090993559413,3.522798189005481
1,1.6271785182705132,3.524749849565392
2,1.6264474171408725,3.5266811900506934
3,1.6257167422535708,3.528591274561372
4,1.6249873010638323,3.5304791602918826
5,1.6242599745090665,3.5323438983441062
6,1.6235357066381648,3.5341845353369092
7,1.6228155276517002,3.536000116098018
8,1.6221004382868185,3.5377896834642524
9,1.621391295761969,3.5395522837196576
10,1.6206889034785923,3.5412869619546874
11,1.6199940564125994,3.5429927716394025
12,1.619307599855889,3.544668777081468
13,1.6186303057819413,3.546314055489164
14,1.6179628617381632,3.5479276987561827
15,1.6173060344139016,3.549508814763067
16,1.6166606457337775,3.5510565282652635
17,1.6160275162067543,3.5525699854632045
18,1.6154075242888766,3.554048354665819
19,1.6148015279245045,3.5554908260560962
