iter,time,n_iters
0,0.30838704109191895,184
1,0.3019688129425049,181
2,0.2596547603607178,157
3,0.28554701805114746,161
4,0.2636241912841797,161
5,0.24558615684509277,141
6,0.2591230869293213,153
7,0.28392815589904785,169
8,0.28516101837158203,169
9,0.28090596199035645,168
10,0.27228689193725586,163
11,0.31954526901245117,166
12,0.2825758457183838,167
13,0.2683267593383789,160
14,0.27042508125305176,159
15,0.27310895919799805,164
16,0.268934965133667,164
17,0.2723560333251953,167
18,0.26652002334594727,163
19,0.2782430648803711,170
