iter,Fx,Fy,Fz
0,-3.6319818402796855e-09,3.831503829487826e-09,3.801737702077701e-08
1,1.808465925623448e-08,-1.7159896191498714e-08,-2.430577490317165e-08
2,4.3707594764817725e-08,2.3748509299717502e-08,1.915201841562464e-08
3,1.8950232475237194e-08,1.9460609769483828e-08,-3.055166224175121e-10
4,-7.138926400550305e-09,1.9653726437973695e-08,3.0979286816390506e-08
5,2.29645533240605e-08,-7.447436079291436e-09,-2.941655051838521e-08
6,1.4073810366242723e-08,1.759603453221903e-08,1.4649931299320906e-08
7,2.245233502590205e-09,-2.165494127417955e-08,-9.040474355237471e-09
8,-2.0457310095055303e-08,2.2190251084547308e-08,1.5026930498540647e-08
9,-1.8599402901511852e-08,2.6097869740282498e-08,4.5776591895557717e-08
10,-4.656481795073039e-08,1.0302931298042384e-08,-9.672784448411242e-11
11,5.5573630956644304e-08,-1.3163770157254007e-08,1.6534562954917398e-09
12,1.130950065455355e-08,1.5995086498354905e-08,-5.29297587321953e-08
13,-2.5960975648733897e-08,1.880366498271946e-08,-4.891756166802708e-10
14,1.3226457698176097e-09,6.5026134650481016e-09,6.475053670670916e-08
15,-2.8030616235682343e-08,2.4344862936329092e-08,4.26481553163216e-08
16,3.9780109036251926e-08,-4.533963182673517e-08,3.4102477092234906e-09
17,-2.6562003952249058e-08,5.9765592041322035e-09,1.6121897376125682e-08
18,2.029311699149744e-08,3.20337676610466e-08,-3.06897892168867e-09
19,1.055572488271872e-08,7.360680901596917e-10,-5.623988302838612e-09
