charge,mass,radius,x,y,z
1,22.99,1,1.65875,1.65875,1.65875
-1,35.453,1,1.65875,1.65875,4.97625
1,22.99,1,1.65875,1.65875,8.293750000000001
-1,35.453,1,1.65875,1.65875,11.611250000000002
-1,35.453,1,1.65875,4.97625,1.65875
1,22.99,1,1.65875,4.97625,4.97625
-1,35.453,1,1.65875,4.97625,8.293750000000001
1,22.99,1,1.65875,4.97625,11.611250000000002
1,22.99,1,1.65875,8.293750000000001,1.65875
-1,35.453,1,1.65875,8.293750000000001,4.97625
1,22.99,1,1.65875,8.293750000000001,8.293750000000001
-1,35.453,1,1.65875,8.293750000000001,11.611250000000002
-1,35.453,1,1.65875,11.611250000000002,1.65875
1,22.99,1,1.65875,11.611250000000002,4.97625
-1,35.453,1,1.65875,11.611250000000002,8.293750000000001
1,22.99,1,1.65875,11.611250000000002,11.611250000000002
-1,35.453,1,4.97625,1.65875,1.65875
1,22.99,1,4.97625,1.65875,4.97625
-1,35.453,1,4.97625,1.65875,8.293750000000001
1,22.99,1,4.97625,1.65875,11.611250000000002
1,22.99,1,4.97625,4.97625,1.65875
-1,35.453,1,4.97625,4.97625,4.97625
1,22.99,1,4.97625,4.97625,8.293750000000001
-1,35.453,1,4.97625,4.97625,11.611250000000002
-1,35.453,1,4.97625,8.293750000000001,1.65875
1,22.99,1,4.97625,8.293750000000001,4.97625
-1,35.453,1,4.97625,8.293750000000001,8.293750000000001
1,22.99,1,4.97625,8.293750000000001,11.611250000000002
1,22.99,1,4.97625,11.611250000000002,1.65875
-1,35.453,1,4.97625,11.611250000000002,4.97625
1,22.99,1,4.97625,11.611250000000002,8.293750000000001
-1,35.453,1,4.97625,11.611250000000002,11.611250000000002
1,22.99,1,8.293750000000001,1.65875,1.65875
-1,35.453,1,8.293750000000001,1.65875,4.97625
1,22.99,1,8.293750000000001,1.65875,8.293750000000001
-1,35.453,1,8.293750000000001,1.65875,11.611250000000002
-1,35.453,1,8.293750000000001,4.97625,1.65875
1,22.99,1,8.293750000000001,4.97625,4.97625
-1,35.453,1,8.293750000000001,4.97625,8.293750000000001
1,22.99,1,8.293750000000001,4.97625,11.611250000000002
1,22.99,1,8.293750000000001,8.293750000000001,1.65875
-1,35.453,1,8.293750000000001,8.293750000000001,4.97625
1,22.99,1,8.293750000000001,8.293750000000001,8.293750000000001
-1,35.453,1,8.293750000000001,8.293750000000001,11.611250000000002
-1,35.453,1,8.293750000000001,11.611250000000002,1.65875
1,22.99,1,8.293750000000001,11.611250000000002,4.97625
-1,35.453,1,8.293750000000001,11.611250000000002,8.293750000000001
1,22.99,1,8.293750000000001,11.611250000000002,11.611250000000002
-1,35.453,1,11.611250000000002,1.65875,1.65875
1,22.99,1,11.611250000000002,1.65875,4.97625
-1,35.453,1,11.611250000000002,1.65875,8.293750000000001
1,22.99,1,11.611250000000002,1.65875,11.611250000000002
1,22.99,1,11.611250000000002,4.97625,1.65875
-1,35.453,1,11.611250000000002,4.97625,4.97625
1,22.99,1,11.611250000000002,4.97625,8.293750000000001
-1,35.453,1,11.611250000000002,4.97625,11.611250000000002
-1,35.453,1,11.611250000000002,8.293750000000001,1.65875
1,22.99,1,11.611250000000002,8.293750000000001,4.97625
-1,35.453,1,11.611250000000002,8.293750000000001,8.293750000000001
1,22.99,1,11.611250000000002,8.293750000000001,11.611250000000002
1,22.99,1,11.611250000000002,11.611250000000002,1.65875
-1,35.453,1,11.611250000000002,11.611250000000002,4.97625
1,22.99,1,11.611250000000002,11.611250000000002,8.293750000000001
-1,35.453,1,11.611250000000002,11.611250000000002,11.611250000000002
