charge,mass,radius,x,y,z
1,22.99,1,0.2,0.2,0.2
-1,35.453,1,2.25,2.25,2.25
1,22.99,1,0.2,0.2,4.3
-1,35.453,1,2.25,2.25,6.35
1,22.99,1,0.2,0.2,8.399999999999999
-1,35.453,1,2.25,2.25,10.45
1,22.99,1,0.2,0.2,12.499999999999998
-1,35.453,1,2.25,2.25,14.549999999999997
1,22.99,1,0.2,0.2,16.599999999999998
-1,35.453,1,2.25,2.25,18.65
1,22.99,1,0.2,4.3,0.2
-1,35.453,1,2.25,6.35,2.25
1,22.99,1,0.2,4.3,4.3
-1,35.453,1,2.25,6.35,6.35
1,22.99,1,0.2,4.3,8.399999999999999
-1,35.453,1,2.25,6.35,10.45
1,22.99,1,0.2,4.3,12.499999999999998
-1,35.453,1,2.25,6.35,14.549999999999997
1,22.99,1,0.2,4.3,16.599999999999998
-1,35.453,1,2.25,6.35,18.65
1,22.99,1,0.2,8.399999999999999,0.2
-1,35.453,1,2.25,10.45,2.25
1,22.99,1,0.2,8.399999999999999,4.3
-1,35.453,1,2.25,10.45,6.35
1,22.99,1,0.2,8.399999999999999,8.399999999999999
-1,35.453,1,2.25,10.45,10.45
1,22.99,1,0.2,8.399999999999999,12.499999999999998
-1,35.453,1,2.25,10.45,14.549999999999997
1,22.99,1,0.2,8.399999999999999,16.599999999999998
-1,35.453,1,2.25,10.45,18.65
1,22.99,1,0.2,12.499999999999998,0.2
-1,35.453,1,2.25,14.549999999999997,2.25
1,22.99,1,0.2,12.499999999999998,4.3
-1,35.453,1,2.25,14.549999999999997,6.35
1,22.99,1,0.2,12.499999999999998,8.399999999999999
-1,35.453,1,2.25,14.549999999999997,10.45
1,22.99,1,0.2,12.499999999999998,12.499999999999998
-1,35.453,1,2.25,14.549999999999997,14.549999999999997
1,22.99,1,0.2,12.499999999999998,16.599999999999998
-1,35.453,1,2.25,14.549999999999997,18.65
1,22.99,1,0.2,16.599999999999998,0.2
-1,35.453,1,2.25,18.65,2.25
1,22.99,1,0.2,16.599999999999998,4.3
-1,35.453,1,2.25,18.65,6.35
1,22.99,1,0.2,16.599999999999998,8.399999999999999
-1,35.453,1,2.25,18.65,10.45
1,22.99,1,0.2,16.599999999999998,12.499999999999998
-1,35.453,1,2.25,18.65,14.549999999999997
1,22.99,1,0.2,16.599999999999998,16.599999999999998
-1,35.453,1,2.25,18.65,18.65
1,22.99,1,4.3,0.2,0.2
-1,35.453,1,6.35,2.25,2.25
1,22.99,1,4.3,0.2,4.3
-1,35.453,1,6.35,2.25,6.35
1,22.99,1,4.3,0.2,8.399999999999999
-1,35.453,1,6.35,2.25,10.45
1,22.99,1,4.3,0.2,12.499999999999998
-1,35.453,1,6.35,2.25,14.549999999999997
1,22.99,1,4.3,0.2,16.599999999999998
-1,35.453,1,6.35,2.25,18.65
1,22.99,1,4.3,4.3,0.2
-1,35.453,1,6.35,6.35,2.25
1,22.99,1,4.3,4.3,4.3
-1,35.453,1,6.35,6.35,6.35
1,22.99,1,4.3,4.3,8.399999999999999
-1,35.453,1,6.35,6.35,10.45
1,22.99,1,4.3,4.3,12.499999999999998
-1,35.453,1,6.35,6.35,14.549999999999997
1,22.99,1,4.3,4.3,16.599999999999998
-1,35.453,1,6.35,6.35,18.65
1,22.99,1,4.3,8.399999999999999,0.2
-1,35.453,1,6.35,10.45,2.25
1,22.99,1,4.3,8.399999999999999,4.3
-1,35.453,1,6.35,10.45,6.35
1,22.99,1,4.3,8.399999999999999,8.399999999999999
-1,35.453,1,6.35,10.45,10.45
1,22.99,1,4.3,8.399999999999999,12.499999999999998
-1,35.453,1,6.35,10.45,14.549999999999997
1,22.99,1,4.3,8.399999999999999,16.599999999999998
-1,35.453,1,6.35,10.45,18.65
1,22.99,1,4.3,12.499999999999998,0.2
-1,35.453,1,6.35,14.549999999999997,2.25
1,22.99,1,4.3,12.499999999999998,4.3
-1,35.453,1,6.35,14.549999999999997,6.35
1,22.99,1,4.3,12.499999999999998,8.399999999999999
-1,35.453,1,6.35,14.549999999999997,10.45
1,22.99,1,4.3,12.499999999999998,12.499999999999998
-1,35.453,1,6.35,14.549999999999997,14.549999999999997
1,22.99,1,4.3,12.499999999999998,16.599999999999998
-1,35.453,1,6.35,14.549999999999997,18.65
1,22.99,1,4.3,16.599999999999998,0.2
-1,35.453,1,6.35,18.65,2.25
1,22.99,1,4.3,16.599999999999998,4.3
-1,35.453,1,6.35,18.65,6.35
1,22.99,1,4.3,16.599999999999998,8.399999999999999
-1,35.453,1,6.35,18.65,10.45
1,22.99,1,4.3,16.599999999999998,12.499999999999998
-1,35.453,1,6.35,18.65,14.549999999999997
1,22.99,1,4.3,16.599999999999998,16.599999999999998
-1,35.453,1,6.35,18.65,18.65
1,22.99,1,8.399999999999999,0.2,0.2
-1,35.453,1,10.45,2.25,2.25
1,22.99,1,8.399999999999999,0.2,4.3
-1,35.453,1,10.45,2.25,6.35
1,22.99,1,8.399999999999999,0.2,8.399999999999999
-1,35.453,1,10.45,2.25,10.45
1,22.99,1,8.399999999999999,0.2,12.499999999999998
-1,35.453,1,10.45,2.25,14.549999999999997
1,22.99,1,8.399999999999999,0.2,16.599999999999998
-1,35.453,1,10.45,2.25,18.65
1,22.99,1,8.399999999999999,4.3,0.2
-1,35.453,1,10.45,6.35,2.25
1,22.99,1,8.399999999999999,4.3,4.3
-1,35.453,1,10.45,6.35,6.35
1,22.99,1,8.399999999999999,4.3,8.399999999999999
-1,35.453,1,10.45,6.35,10.45
1,22.99,1,8.399999999999999,4.3,12.499999999999998
-1,35.453,1,10.45,6.35,14.549999999999997
1,22.99,1,8.399999999999999,4.3,16.599999999999998
-1,35.453,1,10.45,6.35,18.65
1,22.99,1,8.399999999999999,8.399999999999999,0.2
-1,35.453,1,10.45,10.45,2.25
1,22.99,1,8.399999999999999,8.399999999999999,4.3
-1,35.453,1,10.45,10.45,6.35
1,22.99,1,8.399999999999999,8.399999999999999,8.399999999999999
-1,35.453,1,10.45,10.45,10.45
1,22.99,1,8.399999999999999,8.399999999999999,12.499999999999998
-1,35.453,1,10.45,10.45,14.549999999999997
1,22.99,1,8.399999999999999,8.399999999999999,16.599999999999998
-1,35.453,1,10.45,10.45,18.65
1,22.99,1,8.399999999999999,12.499999999999998,0.2
-1,35.453,1,10.45,14.549999999999997,2.25
1,22.99,1,8.399999999999999,12.499999999999998,4.3
-1,35.453,1,10.45,14.549999999999997,6.35
1,22.99,1,8.399999999999999,12.499999999999998,8.399999999999999
-1,35.453,1,10.45,14.549999999999997,10.45
1,22.99,1,8.399999999999999,12.499999999999998,12.499999999999998
-1,35.453,1,10.45,14.549999999999997,14.549999999999997
1,22.99,1,8.399999999999999,12.499999999999998,16.599999999999998
-1,35.453,1,10.45,14.549999999999997,18.65
1,22.99,1,8.399999999999999,16.599999999999998,0.2
-1,35.453,1,10.45,18.65,2.25
1,22.99,1,8.399999999999999,16.599999999999998,4.3
-1,35.453,1,10.45,18.65,6.35
1,22.99,1,8.399999999999999,16.599999999999998,8.399999999999999
-1,35.453,1,10.45,18.65,10.45
1,22.99,1,8.399999999999999,16.599999999999998,12.499999999999998
-1,35.453,1,10.45,18.65,14.549999999999997
1,22.99,1,8.399999999999999,16.599999999999998,16.599999999999998
-1,35.453,1,10.45,18.65,18.65
1,22.99,1,12.499999999999998,0.2,0.2
-1,35.453,1,14.549999999999997,2.25,2.25
1,22.99,1,12.499999999999998,0.2,4.3
-1,35.453,1,14.549999999999997,2.25,6.35
1,22.99,1,12.499999999999998,0.2,8.399999999999999
-1,35.453,1,14.549999999999997,2.25,10.45
1,22.99,1,12.499999999999998,0.2,12.499999999999998
-1,35.453,1,14.549999999999997,2.25,14.549999999999997
1,22.99,1,12.499999999999998,0.2,16.599999999999998
-1,35.453,1,14.549999999999997,2.25,18.65
1,22.99,1,12.499999999999998,4.3,0.2
-1,35.453,1,14.549999999999997,6.35,2.25
1,22.99,1,12.499999999999998,4.3,4.3
-1,35.453,1,14.549999999999997,6.35,6.35
1,22.99,1,12.499999999999998,4.3,8.399999999999999
-1,35.453,1,14.549999999999997,6.35,10.45
1,22.99,1,12.499999999999998,4.3,12.499999999999998
-1,35.453,1,14.549999999999997,6.35,14.549999999999997
1,22.99,1,12.499999999999998,4.3,16.599999999999998
-1,35.453,1,14.549999999999997,6.35,18.65
1,22.99,1,12.499999999999998,8.399999999999999,0.2
-1,35.453,1,14.549999999999997,10.45,2.25
1,22.99,1,12.499999999999998,8.399999999999999,4.3
-1,35.453,1,14.549999999999997,10.45,6.35
1,22.99,1,12.499999999999998,8.399999999999999,8.399999999999999
-1,35.453,1,14.549999999999997,10.45,10.45
1,22.99,1,12.499999999999998,8.399999999999999,12.499999999999998
-1,35.453,1,14.549999999999997,10.45,14.549999999999997
1,22.99,1,12.499999999999998,8.399999999999999,16.599999999999998
-1,35.453,1,14.549999999999997,10.45,18.65
1,22.99,1,12.499999999999998,12.499999999999998,0.2
-1,35.453,1,14.549999999999997,14.549999999999997,2.25
1,22.99,1,12.499999999999998,12.499999999999998,4.3
-1,35.453,1,14.549999999999997,14.549999999999997,6.35
1,22.99,1,12.499999999999998,12.499999999999998,8.399999999999999
-1,35.453,1,14.549999999999997,14.549999999999997,10.45
1,22.99,1,12.499999999999998,12.499999999999998,12.499999999999998
-1,35.453,1,14.549999999999997,14.549999999999997,14.549999999999997
1,22.99,1,12.499999999999998,12.499999999999998,16.599999999999998
-1,35.453,1,14.549999999999997,14.549999999999997,18.65
1,22.99,1,12.499999999999998,16.599999999999998,0.2
-1,35.453,1,14.549999999999997,18.65,2.25
1,22.99,1,12.499999999999998,16.599999999999998,4.3
-1,35.453,1,14.549999999999997,18.65,6.35
1,22.99,1,12.499999999999998,16.599999999999998,8.399999999999999
-1,35.453,1,14.549999999999997,18.65,10.45
1,22.99,1,12.499999999999998,16.599999999999998,12.499999999999998
-1,35.453,1,14.549999999999997,18.65,14.549999999999997
1,22.99,1,12.499999999999998,16.599999999999998,16.599999999999998
-1,35.453,1,14.549999999999997,18.65,18.65
1,22.99,1,16.599999999999998,0.2,0.2
-1,35.453,1,18.65,2.25,2.25
1,22.99,1,16.599999999999998,0.2,4.3
-1,35.453,1,18.65,2.25,6.35
1,22.99,1,16.599999999999998,0.2,8.399999999999999
-1,35.453,1,18.65,2.25,10.45
1,22.99,1,16.599999999999998,0.2,12.499999999999998
-1,35.453,1,18.65,2.25,14.549999999999997
1,22.99,1,16.599999999999998,0.2,16.599999999999998
-1,35.453,1,18.65,2.25,18.65
1,22.99,1,16.599999999999998,4.3,0.2
-1,35.453,1,18.65,6.35,2.25
1,22.99,1,16.599999999999998,4.3,4.3
-1,35.453,1,18.65,6.35,6.35
1,22.99,1,16.599999999999998,4.3,8.399999999999999
-1,35.453,1,18.65,6.35,10.45
1,22.99,1,16.599999999999998,4.3,12.499999999999998
-1,35.453,1,18.65,6.35,14.549999999999997
1,22.99,1,16.599999999999998,4.3,16.599999999999998
-1,35.453,1,18.65,6.35,18.65
1,22.99,1,16.599999999999998,8.399999999999999,0.2
-1,35.453,1,18.65,10.45,2.25
1,22.99,1,16.599999999999998,8.399999999999999,4.3
-1,35.453,1,18.65,10.45,6.35
1,22.99,1,16.599999999999998,8.399999999999999,8.399999999999999
-1,35.453,1,18.65,10.45,10.45
1,22.99,1,16.599999999999998,8.399999999999999,12.499999999999998
-1,35.453,1,18.65,10.45,14.549999999999997
1,22.99,1,16.599999999999998,8.399999999999999,16.599999999999998
-1,35.453,1,18.65,10.45,18.65
1,22.99,1,16.599999999999998,12.499999999999998,0.2
-1,35.453,1,18.65,14.549999999999997,2.25
1,22.99,1,16.599999999999998,12.499999999999998,4.3
-1,35.453,1,18.65,14.549999999999997,6.35
1,22.99,1,16.599999999999998,12.499999999999998,8.399999999999999
-1,35.453,1,18.65,14.549999999999997,10.45
1,22.99,1,16.599999999999998,12.499999999999998,12.499999999999998
-1,35.453,1,18.65,14.549999999999997,14.549999999999997
1,22.99,1,16.599999999999998,12.499999999999998,16.599999999999998
-1,35.453,1,18.65,14.549999999999997,18.65
1,22.99,1,16.599999999999998,16.599999999999998,0.2
-1,35.453,1,18.65,18.65,2.25
1,22.99,1,16.599999999999998,16.599999999999998,4.3
-1,35.453,1,18.65,18.65,6.35
1,22.99,1,16.599999999999998,16.599999999999998,8.399999999999999
-1,35.453,1,18.65,18.65,10.45
1,22.99,1,16.599999999999998,16.599999999999998,12.499999999999998
-1,35.453,1,18.65,18.65,14.549999999999997
1,22.99,1,16.599999999999998,16.599999999999998,16.599999999999998
-1,35.453,1,18.65,18.65,18.65
